,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,UNSAFE_ACTION,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
0,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
1,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Morning,M
2,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Unknown,0,Average Speed,Unknown,Unknown,Reckless,Traffic Maneuver,Other,Night,M
3,1.0,1.0,Adult,Neutral,1.0,Unknown,Clear Weather,Dry,1,Below Average Speed,Unknown,Unknown,Unknown,Stationary Object Maneuver,Shaken,Afternoon,M
4,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Unknown,Other,Afternoon,M
5,0.0,0.0,Adolescent,Unknown,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Afternoon,M
6,0.0,1.0,Middle-aged,Unknown,0.0,Unknown,Clear Weather,Unknown,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Morning,M
7,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,1.0,Unknown,Unknown,Normal,Afternoon,F
8,0.0,1.0,Unknown,Unsafe,1.0,1.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Early Morning,M
9,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Afternoon,M
10,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Unknown,1,Average Speed,Unknown,Unknown,Reckless,Turning Maneuver,Other,Morning,M
11,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,Unknown,Skill,Unknown,Normal,Afternoon,M
12,0.0,0.0,Unknown,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Other,Early Morning,M
13,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Normal,Morning,M
14,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,DRIVER ERROR,0.0,Skill,Straight Ahead,Impaired,Afternoon,M
15,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Adverse Weather,Wet,0,Average Speed,Unknown,0.0,Unknown,Stationary Object Maneuver,Normal,Afternoon,M
16,0.0,1.0,Unknown,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,RECKLESS,0.0,Unknown,Unknown,Normal,Morning,M
17,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Reckless,Traffic Maneuver,Normal,Morning,M
18,1.0,0.0,Unknown,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Unknown,Shaken,Night,M
19,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Unknown,1,Average Speed,DRIVER ERROR,Unknown,Unknown,Stationary Object Maneuver,Other,Afternoon,M
20,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,RECKLESS,0.0,Unknown,Turning Maneuver,Normal,Night,M
21,0.0,0.0,Elderly,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Night,M
22,1.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,RECKLESS,Unknown,Unknown,Unknown,Normal,Afternoon,M
23,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,M
24,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
25,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,RECKLESS,Unknown,Skill,Unknown,Normal,Afternoon,M
26,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,Unknown,Skill,Straight Ahead,Normal,Afternoon,M
27,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Night,M
28,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Unknown,0.0,Unknown,Turning Maneuver,Normal,Afternoon,M
29,0.0,1.0,Unknown,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Unknown,0.0,Unknown,Straight Ahead,Other,Morning,M
30,0.0,0.0,Unknown,Unknown,0.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Morning,F
31,1.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Turning Maneuver,Normal,Afternoon,M
32,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,Unknown,Skill,Straight Ahead,Other,Afternoon,M
33,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,F
34,0.0,1.0,Unknown,Unknown,0.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Afternoon,M
35,1.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Straight Ahead,Normal,Afternoon,M
36,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Stationary Object Maneuver,Other,Night,M
37,0.0,0.0,Unknown,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,RECKLESS,0.0,Skill,Unknown,Normal,Night,F
38,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Morning,M
39,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,M
40,1.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
41,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Reckless,Straight Ahead,Normal,Night,M
42,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Unknown,Unknown,Other,Night,M
43,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Morning,M
44,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Early Morning,M
45,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,1.0,Unknown,Unknown,Normal,Afternoon,F
46,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Unknown,Straight Ahead,Normal,Night,M
47,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Above Average Speed,Unknown,Unknown,Skill,Unknown,Normal,Early Morning,M
48,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,M
49,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Other,Morning,M
50,0.0,1.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Unknown,1,Average Speed,Unknown,Unknown,Reckless,Unknown,Normal,Afternoon,M
51,0.0,0.0,Adolescent,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Afternoon,M
52,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
53,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,M
54,1.0,1.0,Adult,Safe,0.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Shaken,Afternoon,M
55,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,F
56,0.0,1.0,Unknown,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,X
57,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Straight Ahead,Normal,Afternoon,M
58,0.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Wet,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,F
59,0.0,1.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,Unknown,0.0,Visibility,Stationary Object Maneuver,Normal,Afternoon,M
60,0.0,1.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Unknown,Straight Ahead,Normal,Afternoon,X
61,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Night,X
62,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
63,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Stationary Object Maneuver,Shaken,Afternoon,F
64,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,F
65,0.0,0.0,Unknown,Neutral,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,DRIVER ERROR,Unknown,Unknown,Unknown,Other,Afternoon,M
66,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,M
67,0.0,1.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Obstruction,Unknown,Normal,Morning,M
68,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Morning,M
69,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
70,0.0,1.0,Unknown,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
71,0.0,0.0,Middle-aged,Unknown,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Reckless,Straight Ahead,Other,Afternoon,M
72,0.0,1.0,Middle-aged,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,F
73,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Visibility,Unknown,Normal,Afternoon,M
74,0.0,1.0,Adult,Unknown,1.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Turning Maneuver,Normal,Morning,M
75,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Unknown,Normal,Afternoon,M
76,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,RECKLESS,0.0,Skill,Unknown,Normal,Afternoon,M
77,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,,0.0,Skill,Unknown,Normal,Night,M
78,0.0,0.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Night,M
79,0.0,0.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
80,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,,,Unknown,Unknown,Unknown,Afternoon,M
81,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Morning,M
82,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Skill,Straight Ahead,Normal,Morning,M
83,0.0,0.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Afternoon,M
84,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Morning,M
85,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,RECKLESS,0.0,Unknown,Unknown,Normal,Morning,M
86,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
87,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
88,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
89,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
90,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
91,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Below Average Speed,Unknown,Unknown,Skill,Unknown,Normal,Night,M
