,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
0,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
1,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
14,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,0.0,Skill,Straight Ahead,Impaired,Afternoon,M
17,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Morning,M
27,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
33,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
36,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Other,Night,M
39,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
41,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Night,M
43,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
49,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Other,Morning,M
53,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
55,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,F
57,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
59,0.0,1.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,0.0,Visibility,Stationary Object Maneuver,Normal,Afternoon,M
62,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
69,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
86,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
93,1.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
95,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
99,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
105,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
110,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
111,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
113,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
116,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,M
123,1.0,1.0,Middle-aged,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
128,1.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Wet,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Night,M
132,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
137,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
144,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Other,Afternoon,M
150,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
159,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
161,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
178,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Morning,M
182,1.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
187,0.0,1.0,Elderly,Safe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,0.0,Reckless,Straight Ahead,Normal,Morning,M
192,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
197,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
207,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,F
217,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Stationary Object Maneuver,Normal,Night,F
220,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
222,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Stationary Object Maneuver,Normal,Afternoon,M
224,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,M
226,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
230,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
234,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,M
241,1.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Stationary Object Maneuver,Normal,Afternoon,M
245,1.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
246,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
251,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Other,Night,F
252,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,F
254,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
